actual_gloss,normalized_gloss
Opaque,OPAQUE
Red,RED
Green,GREEN
Yellow,YELLOW
Bright,BRIGHT
Light-blue,LIGHT_BLUE
Colors,COLOR
Pink,PINK
Women,WOMAN
Enemy,ENEMY
Son,SON
Man,MAN
Away,AWAY
Drawer,DRAWER
Born,BORN
Learn,LEARN
Call,CALL
Skimmer,SKIMMER
Bitter,BITTER
Sweet milk,SWEET_MILK
Milk,MILK
Water,WATER
Food,FOOD
Argentina,ARGENTINA
Uruguay,URUGUAY
Country,COUNTRY
Last name,LAST_NAME
Where,WHERE
Mock,MOCK
Birthday,BIRTHDAY
Breakfast,BREAKFAST
Photo,PHOTO
Hungry,HUNGRY
Map,MAP
Coin,COIN
Music,MUSIC
Ship,SHIP
None,NONE
Name,NAME
Patience,PATIENCE
Perfume,PERFUME
Deaf,DEAF
Trap,TRAP
Rice,RICE
Barbecue,BARBECUE
Candy,CANDY
Chewing-gum,CHEWING_GUM
Spaghetti,SPAGHETTI
Yogurt,YOGHURT
Accept,ACCEPT
Thanks,THANK_YOU
Shut down,SHUTDOWN
Appear,APPEAR
To land,TO_LAND
Catch,CATCH
Help,HELP
Dance,DANCE
Bathe,BATHE
Buy,BUY
Copy,COPY
Run,RUN
Realize,REALIZE
Give,GIVE
Find,FIND
